testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,sorting,100000,41,10,638896093638517863,638896093638611362,93499,9.3499
0,heap,100000,41,10,638896093638612960,638896093638710564,97604,9.7604
0,sorting,100000,41,11,638896093638712508,638896093638806714,94206,9.4206
0,heap,100000,41,11,638896093638808250,638896093638902680,94430,9.443
0,sorting,100000,41,12,638896093638903913,638896093638997917,94004,9.4004
0,heap,100000,41,12,638896093638999089,638896093639096235,97146,9.7146
0,sorting,100000,41,13,638896093639098337,638896093639200310,101973,10.1973
0,heap,100000,41,13,638896093639202373,638896093639300843,98470,9.847
0,sorting,100000,41,14,638896093639302388,638896093639397079,94691,9.4691
0,heap,100000,41,14,638896093639398268,638896093639492294,94026,9.4026
0,sorting,100000,41,15,638896093639493483,638896093639586844,93361,9.3361
0,heap,100000,41,15,638896093639587961,638896093639686653,98692,9.8692
0,sorting,100000,41,16,638896093639689409,638896093639788327,98918,9.8918
0,heap,100000,41,16,638896093639790330,638896093639887943,97613,9.7613
0,sorting,100000,41,17,638896093639889480,638896093639986838,97358,9.7358
0,heap,100000,41,17,638896093639988052,638896093640081288,93236,9.3236
0,sorting,100000,41,18,638896093640082396,638896093640182430,100034,10.0034
